Vp,gesch,age,herk,bildg,min,item,itemid,rat,typ
135,m,30,Rhein-Pf,Uni,108,mit leeren Händen kommen,NH14_01,3,meto
135,m,30,Rhein-Pf,Uni,108,seine eigenen vier Wände haben,NH14_03,3,meto
135,m,30,Rhein-Pf,Uni,108,auf den Beinen sein,NH14_04,2,meto
135,m,30,Rhein-Pf,Uni,108,kein Auge zutun,NH14_10,4,meto
135,m,30,Rhein-Pf,Uni,108,über alle Berge sein,NH14_16,2,meto
135,m,30,Rhein-Pf,Uni,108,sich aufs Ohr legen,NH14_21,3,meto
135,m,30,Rhein-Pf,Uni,108,in falsche Hände geraten,NH14_26,1,meto
135,m,30,Rhein-Pf,Uni,108,die Finger von etwas lassen,NH14_27,2,meto
135,m,30,Rhein-Pf,Uni,108,mit seinen Reizen spielen,NH14_28,2,meto
135,m,30,Rhein-Pf,Uni,108,jemandem knurrt der Magen,NH14_29,3,meto
135,m,30,Rhein-Pf,Uni,108,jemandem läuft ein Schauer über den Rücken,NH19_02,4,meto
135,m,30,Rhein-Pf,Uni,108,sich unters Messer legen,NH19_07,3,meto
135,m,30,Rhein-Pf,Uni,108,vor jemandes Nase stehen,NH19_08,3,meto
135,m,30,Rhein-Pf,Uni,108,keine Papiere haben,NH19_09,3,meto
135,m,30,Rhein-Pf,Uni,108,etwas nicht aus den Augen lassen,NH19_13,3,meto
135,m,30,Rhein-Pf,Uni,108,jemandem schlägt das Herz bis zum Hals,NH19_18,1,meto
135,m,30,Rhein-Pf,Uni,108,etwas aus eigener Tasche bezahlen,NH19_22,1,meto
135,m,30,Rhein-Pf,Uni,108,die Nase rümpfen,NH19_25,3,meto
135,m,30,Rhein-Pf,Uni,108,einen Luftsprung machen,NH19_27,1,meto
135,m,30,Rhein-Pf,Uni,108,keinen Finger krümmen,NH20_02,2,meto
135,m,30,Rhein-Pf,Uni,108,in den roten Zahlen sein,NH20_03,3,meto
135,m,30,Rhein-Pf,Uni,108,kein Wort über die Lippen bringen,NH20_04,2,meto
135,m,30,Rhein-Pf,Uni,108,das letzte Wort haben,NH20_08,3,meto
135,m,30,Rhein-Pf,Uni,108,eine böse Zunge haben,NH20_09,2,meto
135,m,30,Rhein-Pf,Uni,108,etwas unter vier Augen besprechen,NH20_14,4,meto
135,m,30,Rhein-Pf,Uni,108,sich nicht wohl in seiner Haut fühlen,NH20_20,2,meto
135,m,30,Rhein-Pf,Uni,108,große Augen machen,NH20_21,2,meto
136,m,18,Brandbg,Abi,62,mit leeren Händen kommen,NH14_01,3,meto
136,m,18,Brandbg,Abi,62,seine eigenen vier Wände haben,NH14_03,1,meto
136,m,18,Brandbg,Abi,62,auf den Beinen sein,NH14_04,4,meto
136,m,18,Brandbg,Abi,62,kein Auge zutun,NH14_10,4,meto
136,m,18,Brandbg,Abi,62,über alle Berge sein,NH14_16,1,meto
136,m,18,Brandbg,Abi,62,sich aufs Ohr legen,NH14_21,2,meto
136,m,18,Brandbg,Abi,62,in falsche Hände geraten,NH14_26,3,meto
136,m,18,Brandbg,Abi,62,die Finger von etwas lassen,NH14_27,4,meto
136,m,18,Brandbg,Abi,62,mit seinen Reizen spielen,NH14_28,2,meto
136,m,18,Brandbg,Abi,62,jemandem knurrt der Magen,NH14_29,4,meto
